Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
2016-09-24,11250.0,32050.0,114200.0,21750.0,41700.0,37250.0,37550.0,31700.0,13750.0,16050.0
2016-09-25,11250.0,32050.0,114200.0,21750.0,41700.0,37250.0,37550.0,31700.0,13750.0,16050.0
2016-09-26,11250.0,32050.0,113950.0,21600.0,41200.0,37200.0,37650.0,31550.0,13700.0,16000.0
2016-09-27,11250.0,31850.0,114000.0,21550.0,40600.0,36950.0,37850.0,31250.0,13700.0,16000.0
2016-09-28,11250.0,31650.0,114200.0,21550.0,40300.0,36900.0,38450.0,31000.0,13750.0,16000.0
2016-09-29,11250.0,31500.0,114200.0,21450.0,40050.0,37100.0,39400.0,31200.0,13700.0,16000.0
2016-09-30,11250.0,30900.0,114150.0,21450.0,40000.0,36900.0,40100.0,31350.0,13700.0,15950.0
2016-10-01,11250.0,30900.0,114150.0,21450.0,40000.0,36900.0,40100.0,31350.0,13700.0,15950.0
2016-10-02,11250.0,30900.0,114150.0,21450.0,40000.0,36900.0,40100.0,31350.0,13700.0,15950.0
2016-10-03,11250.0,30800.0,114200.0,21500.0,38800.0,36600.0,41000.0,31100.0,13650.0,15900.0
2016-10-04,11250.0,30750.0,114250.0,21450.0,38700.0,36650.0,41650.0,30900.0,13650.0,15900.0
2016-10-05,11250.0,30650.0,114350.0,21700.0,38300.0,36700.0,41650.0,31650.0,13700.0,15900.0
2016-10-06,11200.0,30650.0,114200.0,21650.0,37800.0,36500.0,41750.0,31450.0,13700.0,15850.0
2016-10-07,11200.0,30750.0,114050.0,21650.0,37700.0,36650.0,41950.0,31350.0,13700.0,15850.0
2016-10-08,11200.0,30750.0,114050.0,21650.0,37700.0,36650.0,41950.0,31350.0,13700.0,15850.0
2016-10-09,11200.0,30750.0,114050.0,21650.0,37700.0,36650.0,41950.0,31350.0,13700.0,15850.0
2016-10-10,11200.0,30800.0,114000.0,21600.0,37200.0,36600.0,45400.0,31750.0,13700.0,15800.0
2016-10-11,11200.0,31000.0,114000.0,21550.0,37100.0,36600.0,46800.0,32200.0,13700.0,15800.0
2016-10-12,11200.0,31100.0,113950.0,21600.0,36750.0,36750.0,46950.0,32250.0,13650.0,15750.0
2016-10-13,11200.0,31200.0,114000.0,21600.0,36600.0,36950.0,47400.0,32600.0,13650.0,15750.0
2016-10-14,11200.0,31250.0,113950.0,21600.0,36800.0,36950.0,47500.0,33200.0,13650.0,15800.0
2016-10-15,11200.0,31250.0,113950.0,21600.0,36800.0,36950.0,47500.0,33200.0,13650.0,15800.0
